flat_threshold,flat_threshold_pct,variant,product,tp,fp,fn,precision_flat,recall_flat,n_true_flat,n_pred_flat
0.031153846153846157,3.115384615384616,3,urea,8,8,41,0.5,0.16326530612244897,49,16
0.031153846153846157,3.115384615384616,3,dap,7,4,62,0.6363636363636364,0.10144927536231885,69,11
0.031153846153846157,3.115384615384616,3,mop,8,13,46,0.38095238095238093,0.14814814814814814,54,21
0.03241025641025641,3.241025641025641,1,urea,1,2,49,0.3333333333333333,0.02,50,3
0.03241025641025641,3.241025641025641,1,dap,1,2,69,0.3333333333333333,0.014285714285714285,70,3
0.03241025641025641,3.241025641025641,1,mop,2,4,54,0.3333333333333333,0.03571428571428571,56,6
0.03241025641025641,3.241025641025641,2,urea,2,3,48,0.4,0.04,50,5
0.03241025641025641,3.241025641025641,2,dap,4,3,66,0.5714285714285714,0.05714285714285714,70,7
0.03241025641025641,3.241025641025641,2,mop,2,10,54,0.16666666666666666,0.03571428571428571,56,12
0.03241025641025641,3.241025641025641,3,urea,8,8,42,0.5,0.16,50,16
0.03241025641025641,3.241025641025641,3,dap,7,4,63,0.6363636363636364,0.1,70,11
0.03241025641025641,3.241025641025641,3,mop,9,12,47,0.42857142857142855,0.16071428571428573,56,21
0.03366666666666667,3.366666666666667,1,urea,1,2,49,0.3333333333333333,0.02,50,3
0.03366666666666667,3.366666666666667,1,dap,1,2,71,0.3333333333333333,0.013888888888888888,72,3
0.03366666666666667,3.366666666666667,1,mop,3,3,56,0.5,0.05084745762711865,59,6
0.03366666666666667,3.366666666666667,2,urea,2,3,48,0.4,0.04,50,5
0.03366666666666667,3.366666666666667,2,dap,4,3,68,0.5714285714285714,0.05555555555555555,72,7
0.03366666666666667,3.366666666666667,2,mop,2,10,57,0.16666666666666666,0.03389830508474576,59,12
0.03366666666666667,3.366666666666667,3,urea,8,8,42,0.5,0.16,50,16
0.03366666666666667,3.366666666666667,3,dap,7,4,65,0.6363636363636364,0.09722222222222222,72,11
0.03366666666666667,3.366666666666667,3,mop,9,12,50,0.42857142857142855,0.15254237288135594,59,21
0.034923076923076925,3.4923076923076923,1,urea,1,2,51,0.3333333333333333,0.019230769230769232,52,3
0.034923076923076925,3.4923076923076923,1,dap,1,2,71,0.3333333333333333,0.013888888888888888,72,3
0.034923076923076925,3.4923076923076923,1,mop,3,3,57,0.5,0.05,60,6
0.034923076923076925,3.4923076923076923,2,urea,2,3,50,0.4,0.038461538461538464,52,5
0.034923076923076925,3.4923076923076923,2,dap,4,3,68,0.5714285714285714,0.05555555555555555,72,7
0.034923076923076925,3.4923076923076923,2,mop,2,10,58,0.16666666666666666,0.03333333333333333,60,12
0.034923076923076925,3.4923076923076923,3,urea,8,8,44,0.5,0.15384615384615385,52,16
0.034923076923076925,3.4923076923076923,3,dap,7,4,65,0.6363636363636364,0.09722222222222222,72,11
0.034923076923076925,3.4923076923076923,3,mop,9,12,51,0.42857142857142855,0.15,60,21
0.03617948717948718,3.617948717948718,1,urea,1,2,51,0.3333333333333333,0.019230769230769232,52,3
0.03617948717948718,3.617948717948718,1,dap,1,2,71,0.3333333333333333,0.013888888888888888,72,3
0.03617948717948718,3.617948717948718,1,mop,3,3,59,0.5,0.04838709677419355,62,6
0.03617948717948718,3.617948717948718,2,urea,2,3,50,0.4,0.038461538461538464,52,5
0.03617948717948718,3.617948717948718,2,dap,4,3,68,0.5714285714285714,0.05555555555555555,72,7
0.03617948717948718,3.617948717948718,2,mop,3,9,59,0.25,0.04838709677419355,62,12
0.03617948717948718,3.617948717948718,3,urea,8,8,44,0.5,0.15384615384615385,52,16
0.03617948717948718,3.617948717948718,3,dap,7,4,65,0.6363636363636364,0.09722222222222222,72,11
0.03617948717948718,3.617948717948718,3,mop,9,12,53,0.42857142857142855,0.14516129032258066,62,21
0.03743589743589744,3.743589743589744,1,urea,1,2,52,0.3333333333333333,0.018867924528301886,53,3
0.03743589743589744,3.743589743589744,1,dap,1,2,71,0.3333333333333333,0.013888888888888888,72,3
0.03743589743589744,3.743589743589744,1,mop,3,3,60,0.5,0.047619047619047616,63,6
0.03743589743589744,3.743589743589744,2,urea,2,3,51,0.4,0.03773584905660377,53,5
0.03743589743589744,3.743589743589744,2,dap,4,3,68,0.5714285714285714,0.05555555555555555,72,7
0.03743589743589744,3.743589743589744,2,mop,3,9,60,0.25,0.047619047619047616,63,12
0.03743589743589744,3.743589743589744,3,urea,8,8,45,0.5,0.1509433962264151,53,16
0.03743589743589744,3.743589743589744,3,dap,7,4,65,0.6363636363636364,0.09722222222222222,72,11
0.03743589743589744,3.743589743589744,3,mop,10,11,53,0.47619047619047616,0.15873015873015872,63,21
0.03869230769230769,3.8692307692307693,1,urea,1,2,54,0.3333333333333333,0.01818181818181818,55,3
0.03869230769230769,3.8692307692307693,1,dap,1,2,72,0.3333333333333333,0.0136986301369863,73,3
0.03869230769230769,3.8692307692307693,1,mop,3,3,63,0.5,0.045454545454545456,66,6
0.03869230769230769,3.8692307692307693,2,urea,2,3,53,0.4,0.03636363636363636,55,5
0.03869230769230769,3.8692307692307693,2,dap,4,3,69,0.5714285714285714,0.0547945205479452,73,7
0.03869230769230769,3.8692307692307693,2,mop,4,8,62,0.3333333333333333,0.06060606060606061,66,12
0.03869230769230769,3.8692307692307693,3,urea,9,7,46,0.5625,0.16363636363636364,55,16
0.03869230769230769,3.8692307692307693,3,dap,7,4,66,0.6363636363636364,0.0958904109589041,73,11
0.03869230769230769,3.8692307692307693,3,mop,11,10,55,0.5238095238095238,0.16666666666666666,66,21
0.03994871794871795,3.9948717948717953,1,urea,2,1,55,0.6666666666666666,0.03508771929824561,57,3
0.03994871794871795,3.9948717948717953,1,dap,1,2,76,0.3333333333333333,0.012987012987012988,77,3
0.03994871794871795,3.9948717948717953,1,mop,3,3,63,0.5,0.045454545454545456,66,6
0.03994871794871795,3.9948717948717953,2,urea,2,3,55,0.4,0.03508771929824561,57,5
0.03994871794871795,3.9948717948717953,2,dap,4,3,73,0.5714285714285714,0.05194805194805195,77,7
0.03994871794871795,3.9948717948717953,2,mop,4,8,62,0.3333333333333333,0.06060606060606061,66,12
0.03994871794871795,3.9948717948717953,3,urea,9,7,48,0.5625,0.15789473684210525,57,16
0.03994871794871795,3.9948717948717953,3,dap,7,4,70,0.6363636363636364,0.09090909090909091,77,11
0.03994871794871795,3.9948717948717953,3,mop,11,10,55,0.5238095238095238,0.16666666666666666,66,21
0.04120512820512821,4.120512820512821,1,urea,2,1,57,0.6666666666666666,0.03389830508474576,59,3
0.04120512820512821,4.120512820512821,1,dap,1,2,79,0.3333333333333333,0.0125,80,3
0.04120512820512821,4.120512820512821,1,mop,3,3,65,0.5,0.04411764705882353,68,6
